"","name","year","rank","sex"
"1","Abdulkadir","1950","95","M"
"2","Abdullah","1950","15","M"
"3","Abdurrahman","1950","46","M"
"4","Adem","1950","40","M"
"5","Adil","1950","90","M"
"6","Ahmet","1950","3","M"
"7","Ali","1950","4","M"
"8","Ali osman","1950","92","M"
"9","Arif","1950","37","M"
"10","Aziz","1950","72","M"
"11","Bayram","1950","30","M"
"12","Bekir","1950","24","M"
"13","Bilal","1950","84","M"
"14","Cafer","1950","73","M"
"15","Celal","1950","21","M"
"16","Cemal","1950","27","M"
"17","Cemil","1950","48","M"
"18","Cuma","1950","97","M"
"19","Duran","1950","91","M"
"20","Durmuş","1950","68","M"
"21","Dursun","1950","33","M"
"22","Ekrem","1950","50","M"
"23","Emin","1950","45","M"
"24","Enver","1950","69","M"
"25","Erol","1950","79","M"
"26","Fahrettin","1950","80","M"
"27","Fahri","1950","88","M"
"28","Fevzi","1950","56","M"
"29","Fikret","1950","82","M"
"30","Hakkı","1950","76","M"
"31","Halil","1950","10","M"
"32","Halil ibrahim","1950","61","M"
"33","Halit","1950","65","M"
"34","Hamdi","1950","85","M"
"35","Hamza","1950","89","M"
"36","Hamit","1950","100","M"
"37","Hasan","1950","6","M"
"38","Hasan hüseyin","1950","55","M"
"39","Haydar","1950","70","M"
"40","Hayrettin","1950","86","M"
"41","Hüseyin","1950","5","M"
"42","Hikmet","1950","53","M"
"43","Kadir","1950","26","M"
"44","Kamil","1950","49","M"
"45","Kazım","1950","60","M"
"46","Kemal","1950","16","M"
"47","Mahmut","1950","18","M"
"48","Mehmet","1950","1","M"
"49","Mehmet ali","1950","22","M"
"50","Mehmet emin","1950","78","M"
"51","Memet","1950","51","M"
"52","Metin","1950","67","M"
"53","Mevlüt","1950","34","M"
"54","Muammer","1950","64","M"
"55","Muharrem","1950","43","M"
"56","Murat","1950","41","M"
"57","Musa","1950","32","M"
"58","Mustafa","1950","2","M"
"59","Muzaffer","1950","25","M"
"60","Necati","1950","31","M"
"61","Nevzat","1950","66","M"
"62","Nurettin","1950","36","M"
"63","Nuri","1950","44","M"
"64","Nihat","1950","63","M"
"65","Niyazi","1950","59","M"
"66","Orhan","1950","42","M"
"67","Osman","1950","9","M"
"68","Ramazan","1950","14","M"
"69","Recep","1950","20","M"
"70","Remzi","1950","54","M"
"71","Rıza","1950","93","M"
"72","Sabri","1950","39","M"
"73","Sadık","1950","58","M"
"74","Salih","1950","19","M"
"75","Salim","1950","81","M"
"76","Sami","1950","57","M"
"77","Selahattin","1950","28","M"
"78","Süleyman","1950","12","M"
"79","Tahsin","1950","77","M"
"80","Tahir","1950","98","M"
"81","Veli","1950","47","M"
"82","Yakup","1950","71","M"
"83","Yaşar","1950","17","M"
"84","Yılmaz","1950","62","M"
"85","Yusuf","1950","11","M"
"86","Zeki","1950","35","M"
"87","Ziya","1950","87","M"
"88","Ömer","1950","13","M"
"89","İbrahim","1950","8","M"
"90","İhsan","1950","52","M"
"91","İlyas","1950","75","M"
"92","İrfan","1950","83","M"
"93","İsa","1950","96","M"
"94","İsmail","1950","7","M"
"95","İsmet","1950","23","M"
"96","İzzet","1950","99","M"
"97","Şaban","1950","38","M"
"98","Şerafettin","1950","94","M"
"99","Şevket","1950","74","M"
"100","Şükrü","1950","29","M"
"101","Abdullah","1960","17","M"
"102","Abdurrahman","1960","55","M"
"103","Adem","1960","28","M"
"104","Adnan","1960","31","M"
"105","Ahmet","1960","3","M"
"106","Ali","1960","4","M"
"107","Arif","1960","43","M"
"108","Aydın","1960","62","M"
"109","Ayhan","1960","49","M"
"110","Aziz","1960","94","M"
"111","Bayram","1960","27","M"
"112","Bekir","1960","35","M"
"113","Burhan","1960","85","M"
"114","Bülent","1960","97","M"
"115","Bilal","1960","74","M"
"116","Cafer","1960","84","M"
"117","Celal","1960","39","M"
"118","Cemal","1960","19","M"
"119","Cemil","1960","59","M"
"120","Cengiz","1960","67","M"
"121","Durmuş","1960","93","M"
"122","Dursun","1960","41","M"
"123","Ekrem","1960","44","M"
"124","Emin","1960","65","M"
"125","Enver","1960","75","M"
"126","Erdoğan","1960","45","M"
"127","Erol","1960","32","M"
"128","Fahrettin","1960","98","M"
"129","Faruk","1960","77","M"
"130","Fikret","1960","60","M"
"131","Gürsel","1960","47","M"
"132","Halil","1960","16","M"
"133","Halil ibrahim","1960","81","M"
"134","Halit","1960","69","M"
"135","Hasan","1960","6","M"
"136","Hasan hüseyin","1960","86","M"
"137","Haydar","1960","79","M"
"138","Hayrettin","1960","76","M"
"139","Hüseyin","1960","5","M"
"140","Hikmet","1960","61","M"
"141","Kadir","1960","23","M"
"142","Kamil","1960","71","M"
"143","Kazım","1960","99","M"
"144","Kemal","1960","18","M"
"145","Kenan","1960","50","M"
"146","Mahmut","1960","21","M"
"147","Mehmet","1960","1","M"
"148","Mehmet ali","1960","33","M"
"149","Mesut","1960","100","M"
"150","Metin","1960","20","M"
"151","Mevlüt","1960","53","M"
"152","Muammer","1960","51","M"
"153","Muharrem","1960","54","M"
"154","Murat","1960","29","M"
"155","Musa","1960","38","M"
"156","Mustafa","1960","2","M"
"157","Muzaffer","1960","30","M"
"158","Necati","1960","40","M"
"159","Necdet","1960","96","M"
"160","Nevzat","1960","56","M"
"161","Nurettin","1960","42","M"
"162","Nuri","1960","72","M"
"163","Nihat","1960","48","M"
"164","Niyazi","1960","95","M"
"165","Orhan","1960","22","M"
"166","Osman","1960","10","M"
"167","Ramazan","1960","9","M"
"168","Recep","1960","11","M"
"169","Remzi","1960","68","M"
"170","Sabri","1960","73","M"
"171","Sadık","1960","83","M"
"172","Salih","1960","24","M"
"173","Sami","1960","64","M"
"174","Sebahattin","1960","90","M"
"175","Sedat","1960","80","M"
"176","Selahattin","1960","36","M"
"177","Süleyman","1960","14","M"
"178","Tahsin","1960","92","M"
"179","Turan","1960","87","M"
"180","Veli","1960","70","M"
"181","Veysel","1960","88","M"
"182","Yakup","1960","57","M"
"183","Yaşar","1960","12","M"
"184","Yılmaz","1960","37","M"
"185","Yusuf","1960","13","M"
"186","Yüksel","1960","63","M"
"187","Zafer","1960","89","M"
"188","Zeki","1960","26","M"
"189","Ömer","1960","15","M"
"190","İbrahim","1960","7","M"
"191","İhsan","1960","58","M"
"192","İlhan","1960","66","M"
"193","İlyas","1960","78","M"
"194","İrfan","1960","52","M"
"195","İsa","1960","82","M"
"196","İsmail","1960","8","M"
"197","İsmet","1960","34","M"
"198","Şaban","1960","25","M"
"199","Şahin","1960","91","M"
"200","Şükrü","1960","46","M"
"201","Abdullah","1970","16","M"
"202","Abdurrahman","1970","72","M"
"203","Adem","1970","20","M"
"204","Adnan","1970","56","M"
"205","Ahmet","1970","3","M"
"206","Ali","1970","4","M"
"207","Arif","1970","55","M"
"208","Aydın","1970","33","M"
"209","Ayhan","1970","18","M"
"210","Bayram","1970","31","M"
"211","Bekir","1970","40","M"
"212","Burhan","1970","92","M"
"213","Bülent","1970","35","M"
"214","Bilal","1970","71","M"
"215","Birol","1970","94","M"
"216","Celal","1970","61","M"
"217","Cemal","1970","42","M"
"218","Cemil","1970","85","M"
"219","Cengiz","1970","27","M"
"220","Dursun","1970","62","M"
"221","Ekrem","1970","54","M"
"222","Emin","1970","77","M"
"223","Engin","1970","93","M"
"224","Ercan","1970","32","M"
"225","Erdal","1970","30","M"
"226","Erdoğan","1970","47","M"
"227","Erhan","1970","99","M"
"228","Erkan","1970","45","M"
"229","Erol","1970","24","M"
"230","Faruk","1970","73","M"
"231","Fatih","1970","66","M"
"232","Fikret","1970","69","M"
"233","Hakan","1970","28","M"
"234","Halil","1970","17","M"
"235","Harun","1970","89","M"
"236","Hasan","1970","7","M"
"237","Hüseyin","1970","5","M"
"238","Hikmet","1970","91","M"
"239","Kadir","1970","34","M"
"240","Kamil","1970","87","M"
"241","Kemal","1970","25","M"
"242","Kenan","1970","43","M"
"243","Levent","1970","63","M"
"244","Mahmut","1970","23","M"
"245","Mehmet","1970","1","M"
"246","Mehmet ali","1970","41","M"
"247","Mesut","1970","38","M"
"248","Metin","1970","12","M"
"249","Mevlüt","1970","95","M"
"250","Muammer","1970","80","M"
"251","Muhammet","1970","84","M"
"252","Muharrem","1970","58","M"
"253","Murat","1970","6","M"
"254","Musa","1970","37","M"
"255","Mustafa","1970","2","M"
"256","Muzaffer","1970","64","M"
"257","Necati","1970","90","M"
